# packages in environment at /opt/conda:
#
# Name                    Version                   Build  Channel
_libgcc_mutex             0.1                 conda_forge    conda-forge
_openmp_mutex             4.5                       1_gnu    conda-forge
asn1crypto                0.24.0                   py37_0    https://repo.anaconda.com/pkgs/main
ca-certificates           2021.5.30            ha878542_0    conda-forge
certifi                   2021.5.30        py37h89c1867_0    conda-forge
cffi                      1.12.2           py37h2e261b9_1    https://repo.anaconda.com/pkgs/main
chardet                   3.0.4                    py37_1    https://repo.anaconda.com/pkgs/main
conda                     4.8.4            py37hc8dfbb8_2    conda-forge
conda-package-handling    1.7.3            py37h5e8e339_0    conda-forge
cryptography              2.6.1            py37h1ba5d50_0    https://repo.anaconda.com/pkgs/main
idna                      2.8                      py37_0    https://repo.anaconda.com/pkgs/main
libedit                   3.1.20181209         hc058e9b_0    https://repo.anaconda.com/pkgs/main
libffi                    3.2.1                hd88cf55_4    https://repo.anaconda.com/pkgs/main
libgcc-ng                 9.3.0               h2828fa1_19    conda-forge
libgomp                   9.3.0               h2828fa1_19    conda-forge
libstdcxx-ng              8.2.0                hdf63c60_1    https://repo.anaconda.com/pkgs/main
ncurses                   6.1                  he6710b0_1    https://repo.anaconda.com/pkgs/main
openssl                   1.1.1k               h7f98852_0    conda-forge
pip                       19.0.3                   py37_0    https://repo.anaconda.com/pkgs/main
pycosat                   0.6.3            py37h14c3975_0    https://repo.anaconda.com/pkgs/main
pycparser                 2.19                     py37_0    https://repo.anaconda.com/pkgs/main
pyopenssl                 19.0.0                   py37_0    https://repo.anaconda.com/pkgs/main
pysocks                   1.6.8                    py37_0    https://repo.anaconda.com/pkgs/main
python                    3.7.3                h0371630_0    https://repo.anaconda.com/pkgs/main
python_abi                3.7                     1_cp37m    conda-e3-virtual
readline                  7.0                  h7b6447c_5    https://repo.anaconda.com/pkgs/main
requests                  2.21.0                   py37_0    https://repo.anaconda.com/pkgs/main
ruamel_yaml               0.15.46          py37h14c3975_0    https://repo.anaconda.com/pkgs/main
setuptools                41.0.0                   py37_0    https://repo.anaconda.com/pkgs/main
six                       1.12.0                   py37_0    https://repo.anaconda.com/pkgs/main
sqlite                    3.27.2               h7b6447c_0    https://repo.anaconda.com/pkgs/main
tk                        8.6.8                hbc83047_0    https://repo.anaconda.com/pkgs/main
tqdm                      4.61.2             pyhd8ed1ab_0    conda-forge
urllib3                   1.24.1                   py37_0    https://repo.anaconda.com/pkgs/main
wheel                     0.33.1                   py37_0    https://repo.anaconda.com/pkgs/main
xz                        5.2.4                h14c3975_4    https://repo.anaconda.com/pkgs/main
yaml                      0.1.7                had09818_2    https://repo.anaconda.com/pkgs/main
zlib                      1.2.11               h7b6447c_3    https://repo.anaconda.com/pkgs/main
